# start	end	date	part	region	text
-13799998050	-13799998050	13.8 billion years ago	1	the universe	the big bang: space, time, matter, and energy begin expanding from an extremely hot, dense state
-13799998050	-13799998050	13.8 billion years ago	1	the universe	about 380,000 years after the big bang, the first atoms form and light travels freely for the first time; it survives today as the cosmic microwave background
-13599998050	-13599998050	13.6 billion years ago	1	the universe	the first stars ignite, made almost entirely of hydrogen and helium
-12999998050	-12999998050	c. 13 billion years ago	1	the universe	early galaxies take shape, including the oldest parts of our own milky way
-4599998050	-4599998050	4.6 billion years ago	1	the universe	a cloud of gas and dust, enriched by the remains of earlier stars, collapses to form the sun and a disk of material around it
-4539998050	-4539998050	4.54 billion years ago	1	the whole world	the earth forms as rock and dust in the young solar system clump together
-4499998050	-4499998050	4.5 billion years ago	1	the whole world	a mars-sized body, often called theia, strikes the young earth; the debris forms the moon
-4399998050	-4399998050	4.4 billion years ago	1	oceania	the oldest known mineral crystals on earth form; zircons later found in western australia hint that liquid water already existed
-3699998050	-3699998050	c. 3.7 billion years ago	1	the whole world	the earliest likely traces of life: chemical signs of microbes preserved in ancient rocks
-3499998050	-3499998050	3.5 billion years ago	1	oceania	microbial mats build stromatolites, layered rock mounds that are among the oldest clear fossils, found in western australia
-2399998050	-2399998050	2.4 billion years ago	1	the whole world	the great oxidation event: oxygen made by photosynthesizing cyanobacteria begins to build up in the air
-1999998050	-1999998050	c. 2 billion years ago	1	the whole world	complex cells (eukaryotes) appear, with a nucleus and mitochondria that were once free-living bacteria
-999998050	-999998050	c. 1 billion years ago	1	the whole world	the first known multicellular algae, and some of the earliest evidence of sexual reproduction
-699998050	-699998050	c. 700 million years ago	1	the whole world	"snowball earth": ice spreads close to the equator in one of the most extreme cold periods in the planet's history
-574998050	-574998050	c. 575 million years ago	1	the whole world	the ediacaran biota: strange soft-bodied creatures, among the first large complex organisms, live on the sea floor
-537998050	-537998050	538 million years ago	1	the whole world	the cambrian explosion begins: most major animal groups appear within a few tens of millions of years
-469998050	-469998050	c. 470 million years ago	1	the whole world	simple plants related to mosses begin to colonize the land
-442998050	-442998050	443 million years ago	1	the whole world	the end-ordovician extinction, caused by a sharp ice age, wipes out most species in the sea
-374998050	-374998050	375 million years ago	1	north america	tiktaalik, a fish with sturdy limb-like fins and a neck, lives in shallow streams; it shows how fish gave rise to land animals
-371998050	-371998050	372 million years ago	1	the whole world	the late devonian extinction devastates reefs and ocean life
-329998050	-329998050	c. 330 million years ago	1	the whole world	vast swamp forests of giant ferns and club mosses cover the land; their buried remains become much of today's coal
-311998050	-311998050	c. 312 million years ago	1	the whole world	the first amniotes, the ancestors of reptiles, birds, and mammals, lay eggs that can survive on dry land
-251998050	-251998050	252 million years ago	1	the whole world	the great dying (permian-triassic extinction), driven by huge volcanic eruptions in siberia, kills about 90 percent of species in the sea
-234998050	-234998050	c. 235 million years ago	1	south america	the earliest known dinosaurs, small two-legged hunters, live in what is now argentina and brazil
